City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Basco,PH,75.81,20.4487,121.9702,Nathaniel's Lodge
2,Calamar,CO,80.55,10.2511,-74.9146,Hostal Katyalex
9,Rikitea,PF,77.31,-23.1203,-134.9692,People ThankYou
14,Itarema,BR,80.85,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
20,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
22,Hilo,US,78.62,19.7297,-155.09,Hilo Hawaiian Hotel
23,Kudahuvadhoo,MV,80.65,2.6708,72.8944,Niyama Private Islands Maldives
28,Puerto Ayora,EC,75.16,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Butaritari,KI,82.53,3.0707,172.7902,Isles Sunset Lodge
33,Vaini,TO,82.56,-21.2,-175.2,Keleti Beach Resort
35,Alofi,NU,78.21,-19.0595,-169.9187,Taloa Heights
41,Yeppoon,AU,76.78,-23.1333,150.7333,Villa Mar Colina
44,Chemax,MX,81.59,20.65,-87.9333,"Hotel ""Don Roger"""
48,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
53,Tutoia,BR,85.98,-2.7619,-42.2744,Pousada Guará's
62,Iseyin,NG,80.28,7.9667,3.6,Momak Hotels And Suites
84,Fort Myers Beach,US,85.01,26.452,-81.9481,Lani Kai Island Resort
87,Sorong,ID,81.5,-0.8833,131.25,Waigo Splash Hotel
91,Monrovia,LR,78.57,6.3005,-10.7969,Sunset Inn
96,Yenagoa,NG,81.16,4.9247,6.2642,Aridolf Resort Wellness and Spa
103,Atuona,PF,79.18,-9.8,-139.0333,Villa Enata
105,Umm Lajj,SA,76.32,25.0213,37.2685,Moon light Furnished Units
111,Cayenne,GF,76.08,4.9333,-52.3333,Hôtel Le Dronmi
113,Cravo Norte,CO,88.05,6.3017,-70.2041,Hotel Potosí Los Mirtos
114,Iracoubo,GF,77.09,5.4802,-53.2011,Le Gîte d’Iracoubo
118,Saint-Philippe,RE,78.39,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
121,Faanui,PF,80.71,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
124,Boyolangu,ID,76.15,-8.1181,111.8935,Yos ega cv
127,Kulhudhuffushi,MV,81.81,6.6221,73.07,Haajy Guest House 1
131,Tautira,PF,84.22,-17.7333,-149.15,Pension Oaoa
134,Codrington,AU,80.55,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
145,Brandon,US,83.37,27.9378,-82.2859,Brandon Motor Lodge
147,Mahebourg,MU,75.49,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
158,Pimenta Bueno,BR,77.05,-11.6725,-61.1936,Cristalina Palace Hotel
162,Ixtapa,MX,79.83,20.7,-105.2,Hotel Plaza Providencia
163,Hithadhoo,MV,80.98,-0.6,73.0833,Scoop Guest House
164,Lazaro Cardenas,MX,83.75,17.9583,-102.2,quinta antigua
166,Hobyo,SO,78.35,5.3505,48.5268,Halane Hotel and Restaurent
170,Waingapu,ID,80.08,-9.6567,120.2641,Pondok Wisata Elim
174,Vila Velha,BR,80.55,-20.3297,-40.2925,Quality Suites Vila Velha
179,Kapaa,US,80.92,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
181,Souillac,MU,75.58,-20.5167,57.5167,Shanti Maurice Resort & Spa
184,Progreso,MX,86.11,21.2833,-89.6667,Playa Linda Hotel
185,Alice Springs,AU,80.15,-23.7,133.8833,Desert Palms Alice Springs
186,Novo Aripuana,BR,75.97,-5.1206,-60.3797,Hotel Ezequiel
190,Karratha,AU,85.82,-20.7377,116.8463,ibis Styles Karratha
191,Carmelo,UY,79.16,-33.9892,-58.2856,Los Muelles Boutique Hotel
205,General Roca,AR,75.61,-39.0333,-67.5833,Hotel y Casino del Río General Roca
213,Cabo San Lucas,MX,76.3,22.8909,-109.9124,Hotel Tesoro Los Cabos
217,Labuhan,ID,77.92,-6.8844,112.2051,PT PPI Lamongan Tambak C
219,Castelo Do Piaui,BR,88.23,-5.3222,-41.5525,Nobre Hotel
220,Arraial Do Cabo,BR,77.27,-22.9661,-42.0278,Pousada Porto Praia
221,Kalmunai,LK,77.07,7.4167,81.8167,VS Villa
223,Manokwari,ID,79.56,-0.8667,134.0833,Swiss Belhotel Manokwari
224,Port Augusta,AU,77.7,-32.5,137.7667,Majestic Oasis Apartments
226,Mount Isa,AU,85.77,-20.7333,139.5,ibis Styles Mt Isa Verona
227,Byron Bay,AU,75.18,-28.65,153.6167,Backpackers Inn
237,Anito,PH,78.06,12.4497,125.2886,FELIPA LAODENIO PROPERTY
241,San Cristobal,VE,75.38,7.7669,-72.225,Posada Villaven C.A.
243,The Valley,AI,81.1,18.217,-63.0578,CeBlue Villas & Beach Resort
246,Broken Hill,AU,83.68,-31.95,141.4333,Royal Exchange Hotel
248,Galle,LK,77.32,6.0367,80.217,Amangalla
249,San Juan,AR,78.71,-31.5375,-68.5364,Hotel Provincial
256,Vanimo,PG,80.8,-2.6741,141.3028,Vahmoneh Lodge Vanimo
260,Sao Jose Da Coroa Grande,BR,79.39,-8.8978,-35.1478,Crôa Mares Hotel
273,Nsanje,MW,82.98,-16.92,35.262,Nsanje Discovery Lodge
274,Kavaratti,IN,80.85,10.5669,72.642,Hotels in Lakshadweep Islands
279,Kahului,US,81.97,20.8947,-156.47,Maui Seaside Hotel
280,Meulaboh,ID,75.51,4.1363,96.1285,Kost Pria
282,Nhulunbuy,AU,84.81,-12.2333,136.7667,East Arnhem Real Estate
283,Kavieng,PG,84.36,-2.5744,150.7967,Nusa Island Retreat
284,Vaitape,PF,80.74,-16.5167,-151.75,Conrad Bora Bora Nui
