City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yumen,CN,40.2833,97.2,19.38,38,0,15.26
1,Basco,PH,20.4487,121.9702,75.81,68,63,23.49
2,Calamar,CO,10.2511,-74.9146,80.55,65,94,11.61
3,Barrow,US,71.2906,-156.7887,-12.98,77,1,13.8
4,Port Pirie,AU,-33.1833,138.0167,66.29,68,10,11.07
5,Albany,US,42.6001,-73.9662,41.52,41,0,8.3
6,Thompson,CA,55.7435,-97.8558,-1.84,100,95,2.04
7,Havoysund,NO,70.9963,24.6622,32.88,98,100,10.89
8,Katsuura,JP,35.1333,140.3,50.18,65,76,14.67
9,Rikitea,PF,-23.1203,-134.9692,77.31,77,87,9.42
10,Pallasovka,RU,50.05,46.8833,19.49,70,0,8.61
11,Kottagudem,IN,17.55,80.6333,67.15,93,70,2.44
12,Grindavik,IS,63.8424,-22.4338,41.47,87,75,19.57
13,Avera,US,33.194,-82.5271,60.31,47,0,5.61
14,Itarema,BR,-2.9248,-39.9167,80.85,78,33,16.35
15,Lunenburg,CA,44.3835,-64.3155,38.41,67,100,19.24
16,Qaanaaq,GL,77.484,-69.3632,-2.0,69,77,2.26
17,Lompoc,US,34.6391,-120.4579,66.34,57,1,14.97
18,Havelock,US,34.8791,-76.9013,52.93,60,1,1.01
19,Silifke,TR,36.3778,33.9344,63.25,49,100,11.45
20,Avarua,CK,-21.2078,-159.775,75.25,94,75,1.14
21,Carnarvon,AU,-24.8667,113.6333,68.07,73,2,14.97
22,Hilo,US,19.7297,-155.09,78.62,57,75,5.75
23,Kudahuvadhoo,MV,2.6708,72.8944,80.65,76,100,6.55
24,Lavrentiya,RU,65.5833,-171.0,-14.53,87,13,3.0
25,Asfi,MA,32.2994,-9.2372,62.1,63,1,1.81
26,Yellowknife,CA,62.456,-114.3525,9.41,91,100,5.99
27,Ushuaia,AR,-54.8,-68.3,43.45,64,46,19.66
28,Puerto Ayora,EC,-0.7393,-90.3518,75.16,92,99,7.78
29,Nikolskoye,RU,59.7035,30.7861,23.4,98,100,3.91
30,Butaritari,KI,3.0707,172.7902,82.53,71,69,17.38
31,Ukiah,US,39.1502,-123.2078,53.98,91,90,5.75
32,Jamestown,US,42.097,-79.2353,42.39,50,1,8.99
33,Vaini,TO,-21.2,-175.2,82.56,83,40,13.8
34,Nyurba,RU,63.2842,118.3319,-23.66,97,100,7.02
35,Alofi,NU,-19.0595,-169.9187,78.21,70,8,6.96
36,Ucluelet,CA,48.9329,-125.5528,41.09,86,100,6.96
37,Severo-Kurilsk,RU,50.6789,156.125,32.9,86,78,12.03
38,New Norfolk,AU,-42.7826,147.0587,61.92,57,14,3.0
39,Langfang,CN,39.5097,116.6947,20.88,43,0,6.17
40,Kodiak,US,57.79,-152.4072,15.28,57,1,34.52
41,Yeppoon,AU,-23.1333,150.7333,76.78,71,9,14.56
42,Busselton,AU,-33.65,115.3333,47.08,69,100,8.19
43,Eldoret,KE,0.5204,35.2699,55.02,89,98,15.43
44,Chemax,MX,20.65,-87.9333,81.59,63,49,4.9
45,Punta Arenas,CL,-53.15,-70.9167,50.11,34,0,23.02
46,Ilulissat,GL,69.2167,-51.1,19.42,68,90,9.22
47,San Quintin,MX,30.4833,-115.95,63.09,57,2,10.63
48,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,18.41
49,Lubango,AO,-14.9172,13.4925,63.48,83,98,3.09
50,Awjilah,LY,29.1081,21.2869,55.11,74,2,8.88
51,Lerwick,GB,60.1545,-1.1494,48.2,79,100,22.82
52,Tabriz,IR,38.08,46.2919,31.46,80,0,6.91
53,Tutoia,BR,-2.7619,-42.2744,85.98,81,43,13.49
54,Mount Gambier,AU,-37.8333,140.7667,69.21,45,25,7.49
55,Victoria,HK,22.2855,114.1577,66.25,71,65,1.99
56,Fairbanks,US,64.8378,-147.7164,-8.77,69,1,3.44
57,Geraldton,AU,-28.7667,114.6,57.61,82,70,8.05
58,Hegra,NO,63.4644,11.114,36.52,93,75,2.3
