City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-12-11 13:54:55,-53.15,-70.9167,55.42,76,75,9.22
1,Mount Gambier,AU,2021-12-11 13:57:31,-37.8333,140.7667,55.31,82,96,6.91
2,Dongsheng,CN,2021-12-11 13:58:56,39.8161,109.9776,19.06,60,5,14.43
3,Piacabucu,BR,2021-12-11 14:00:03,-10.4056,-36.4344,86.83,55,19,14.97
4,Bluff,NZ,2021-12-11 13:57:27,-46.6,168.3333,46.8,62,5,8.95
5,Butaritari,KI,2021-12-11 13:57:32,3.0707,172.7902,82.72,77,34,15.9
6,Qaanaaq,GL,2021-12-11 13:54:55,77.484,-69.3632,-2.9,64,34,7.23
7,Jamestown,US,2021-12-11 13:56:07,42.097,-79.2353,60.3,96,90,4.0
8,Alice Springs,AU,2021-12-11 13:58:08,-23.7,133.8833,71.15,30,0,5.75
9,Lufkin,US,2021-12-11 13:57:18,31.3382,-94.7291,53.6,55,100,12.37
10,Bethel,US,2021-12-11 13:54:33,41.3712,-73.414,55.51,91,90,3.0
11,Vaini,TO,2021-12-11 13:54:59,-21.2,-175.2,77.16,94,75,4.61
12,Cidreira,BR,2021-12-11 14:00:07,-30.1811,-50.2056,71.83,63,69,8.05
13,Cape Town,ZA,2021-12-11 13:50:49,-33.9258,18.4232,75.11,62,20,18.41
14,Millerovo,RU,2021-12-11 14:00:09,48.9226,40.3967,33.22,76,100,8.84
15,Bonthe,SL,2021-12-11 14:00:09,7.5264,-12.505,87.78,58,79,10.09
16,Khatanga,RU,2021-12-11 13:56:14,71.9667,102.5,-43.31,100,64,5.53
17,Mayumba,GA,2021-12-11 13:58:52,-3.432,10.6554,80.71,84,90,7.9
18,Georgetown,MY,2021-12-11 13:56:09,5.4112,100.3354,84.88,71,20,5.01
19,Barrow,US,2021-12-11 13:53:02,71.2906,-156.7887,1.09,97,100,2.04
20,Brownsville,US,2021-12-11 13:56:48,25.9018,-97.4975,76.08,95,90,3.44
21,Ushuaia,AR,2021-12-11 13:50:14,-54.8,-68.3,55.06,58,20,8.05
22,Banda Aceh,ID,2021-12-11 14:00:12,5.5577,95.3222,79.07,84,6,12.55
23,Albany,US,2021-12-11 13:53:12,42.6001,-73.9662,50.31,93,100,1.99
24,Rikitea,PF,2021-12-11 13:54:57,-23.1203,-134.9692,75.13,72,100,13.35
25,Griffith,US,2021-12-11 14:00:13,41.5284,-87.4237,37.63,78,90,11.99
26,Samdari,IN,2021-12-11 14:00:15,25.8167,72.5833,69.62,19,94,6.67
27,Ribeira Grande,PT,2021-12-11 14:00:15,38.5167,-28.7,66.6,82,75,16.11
28,Kapaa,US,2021-12-11 13:54:48,22.0752,-159.319,73.72,75,90,1.01
29,Lebu,CL,2021-12-11 14:00:16,-37.6167,-73.65,53.8,86,100,2.42
30,Polis,CY,2021-12-11 14:00:17,35.0367,32.4264,70.29,56,0,3.29
